"Julie Andrews, Charmian Carr, Heather Menzies, Nicholas Hammond, Duane Chase, Angela Cartwright, Debbie Turner and Kym Karath",The Lonely Goatherd,Stage and Screen,60s and earlier,1965,Get happy,,Hard,Soprano
Justin Bieber,Love Yourself,Pop,2010s and beyond,2015,"Bare your soul, Rage on",,Easy,Bass
Justin Bieber,Peaches (feat. Daniel Caesar and Giveon),Pop,2010s and beyond,2021,"Swagger, Get happy",Group,Medium,Baritone
Justin Timberlake,Cry Me a River,Pop,2000s,2002,"Bare your soul, Just dance",,Medium,Tenor
Justin Timberlake,Rock Your Body,Pop,2000s,2002,"Just dance, Get happy, Swagger",,Hard,Tenor
Kai,Say You’ll Stay,R and B,2010s and beyond,2011,Bare your soul,,Easy,Baritone
Katrina and The Waves,Walking On Sunshine,Rock,80s,1985,"Get happy, Just dance",,Medium,Soprano
Katy Perry,Last Friday Night (T.G.I.F.),Pop,2010s and beyond,2010,"Just dance, Swagger",,Easy,Soprano
Katy Perry,Firework,Pop,2010s and beyond,2010,"Get happy, Just dance",,Hard,Soprano
Kelly Clarkson,Since U Been Gone,Pop,2000s,2004,"Swagger, Bare your soul, Rage on",,Hard,Soprano
Kelly Clarkson,Behind These Hazel Eyes,Rock,2000s,2004,Rage on,,Medium,Soprano
Kelly Clarkson,Stronger (What Doesn’t Kill You),Pop,2010s and beyond,2011,"Rage on, Just dance",,Hard,Soprano
Kermit,Rainbow Connection (From The Muppet Movie Soundtrack),Stage and Screen,70s,1979,"Get happy, Bare your soul",,Medium,Bass
Lady Gaga,Bad Romance,Pop,2000s,2009,"Just dance, Swagger",,Easy,Mezzo
Lady Gaga,Paparazzi,Pop,2000s,2009,Just dance,,Medium,Soprano
Lady Gaga,Poker Face,Dance,2000s,2008,"Just dance, Get happy",,Medium,Mezzo
Lady Gaga,Just Dance (feat. Colby O’Donis),Pop,2010s and beyond,2014,Just dance,,Medium,Alto
Lady Gaga and Bradley Cooper,Shallow,Pop,2010s and beyond,2018,Bare your soul,Duet,Hard,"Soprano, Tenor"
Lana Del Rey,Video Games,Pop,2010s and beyond,2011,Bare your soul,,Easy,Alto
Lana Del Rey,Summertime Sadness,Rock,2010s and beyond,2012,Bare your soul,,Easy,Alto
Lea Salonga (Children’s),Reflection (From Mulan),Stage and Screen,90s,1998,Bare your soul,,Hard,Soprano
Lea Salonga and Brad Kane (Children’s),A Whole New World (From Aladdin),Stage and Screen,90s,1992,Get happy,Duet,Medium,"Soprano, Tenor"
Led Zeppelin,Ramble On,Rock,60s and earlier,1969,Rage on,,Easy,Tenor
Lenny Kravitz,American Woman,Pop,90s,1999,Swagger,,Easy,Baritone
Lenny Kravitz,Again,Pop,2000s,2000,Swagger,,Easy,Baritone
Lenny Kravitz,Fly Away,Pop,90s,1998,Swagger,,Easy,Baritone
Les Miserables (1987 Original Broadway Cast),On My Own,Stage and Screen,80s,1987,Bare your soul,,Medium,Mezzo
Lesley Gore,It’s My Party,Pop,60s and earlier,1963,"Get happy, Just dance",,Medium,Mezzo
Lesley Gore,You Don’t Own Me,R and B,60s and earlier,1968,"Rage on, Swagger",,Hard,Mezzo
Lewis Capaldi,Someone You Loved,Pop,2010s and beyond,2018,Bare your soul,,Medium,Tenor
Lil Nas X,Old Town Road,Rap/Hip hop,2010s and beyond,2019,"Swagger, Just dance",,Easy,Bass
Lil Nas X and Jack Harlow,INDUSTRY BABY,Rap/Hip hop,2010s and beyond,2021,"Just dance, Swagger",,Easy,Bass
Limp Bizkit,Break Stuff,Pop,90s,1999,"Swagger, Rage on",,Medium,Baritone
Linkin Park,Numb,Rock,2000s,2003,"Rage on, Bare your soul",,Easy,Tenor
Lisa Loeb,Stay (I Missed You),Pop,90s,1994,Bare your soul,,Easy,Soprano
